home_team,country_code,win_percent
Jersey,JEY,67.07317073170732
Brazil,BRA,63.710499490316
Spain,ESP,58.5014409221902
Germany,DEU,58.48261327713382
Iran,IRN,54.50901803607214
Czech Republic,CZE,53.872053872053876
Argentina,ARG,53.673469387755105
Croatia,HRV,53.459119496855344
Italy,ITA,52.875
New Caledonia,NCL,52.863436123348016
South Korea,KOR,52.66821345707657
Russia,RUS,51.29682997118156
Netherlands,NLD,50.765306122448976
Mexico,MEX,50.51783659378596
Ivory Coast,CIV,49.73451327433628
Australia,AUS,49.70986460348163
France,FRA,49.642857142857146
Sweden,SWE,49.115913555992144
Egypt,EGY,48.89589905362776
Portugal,PRT,48.28711256117455
Japan,JPN,48.165869218500795
China PR,CHN,48.15436241610738
Guernsey,GGY,48.05194805194805
Saudi Arabia,SAU,47.8330658105939
Ghana,GHA,47.666666666666664
Hungary,HUN,46.76724137931034
Nigeria,NGA,46.354166666666664
Morocco,MAR,46.16822429906542
Ukraine,UKR,46.06741573033708
Iraq,IRQ,45.88665447897623
Martinique,MTQ,45.723684210526315
Zambia,ZMB,45.682451253481894
Serbia,SRB,45.09090909090909
Denmark,DNK,44.77987421383648
Czechoslovakia,CZE,44.75806451612903
Burma,MMR,44.28152492668622
Senegal,SEN,44.045368620037806
Suriname,SUR,43.96551724137931
Romania,ROU,43.94812680115274
Fiji,FJI,43.89140271493213
Saint Vincent and the Grenadines,VCT,43.83561643835616
South Africa,ZAF,43.75
Uzbekistan,UZB,43.63636363636363
Trinidad and Tobago,TTO,43.609022556390975
Cameroon,CMR,43.445692883895134
Belgium,BEL,43.359375
Uruguay,URY,43.21266968325792
Poland,POL,43.06748466257669
United States,USA,42.98245614035088
Uganda,UGA,42.62820512820513
Costa Rica,CRI,42.549668874172184
Algeria,DZA,42.37623762376238
North Korea,PRK,42.35294117647059
Solomon Islands,SLB,42.35294117647059
Kuwait,KWT,42.02127659574468
Tunisia,TUN,41.82444061962134
Austria,AUT,41.51670951156812
Qatar,QAT,41.46341463414634
Zimbabwe,ZWE,41.44736842105263
Haiti,HTI,41.42538975501114
Guadeloupe,GLP,41.101694915254235
Slovakia,SVK,40.893470790378004
Honduras,HND,40.77669902912621
Vietnam,VNM,40.59405940594059
New Zealand,NZL,40.331491712707184
Bosnia and Herzegovina,BIH,40.0
United Arab Emirates,ARE,39.923224568138195
Mali,MLI,39.67935871743487
Saint Kitts and Nevis,KNA,39.66480446927374
Tajikistan,TJK,39.583333333333336
DR Congo,COD,39.39393939393939
Jamaica,JAM,39.184397163120565
Dominican Republic,DOM,38.93805309734513
Colombia,COL,38.90909090909091
Republic of Ireland,IRL,38.869257950530034
Turkey,TUR,38.80070546737213
Madagascar,MDG,38.288288288288285
Chile,CHL,38.1578947368421
Turkmenistan,TKM,37.68115942028985
Kenya,KEN,37.674418604651166
Indonesia,IDN,37.613019891500905
Bulgaria,BGR,37.20238095238095
Syria,SYR,37.12871287128713
Oman,OMN,37.111111111111114
Thailand,THA,37.08920187793427
Greece,GRC,36.87943262411348
Curaçao,CUW,36.74698795180723
Libya,LBY,36.49851632047478
Ethiopia,ETH,36.46408839779006
Norway,NOR,36.44278606965174
Guinea,GIN,36.26609442060086
Grenada,GRD,35.84905660377358
Paraguay,PRY,35.614525139664806
Bermuda,BMU,35.526315789473685
Canada,CAN,35.17060367454068
Malawi,MWI,35.16873889875666
Switzerland,CHE,35.131744040150565
Jordan,JOR,34.94897959183673
Cape Verde,CPV,34.93975903614458
Malaysia,MYS,34.883720930232556
Guatemala,GTM,34.841628959276015
Gabon,GAB,34.81894150417827
Israel,ISR,34.81308411214953
India,IND,34.65346534653465
Slovenia,SVN,34.412955465587046
Congo,COG,34.4
Angola,AGO,34.375
Cuba,CUB,34.124629080118694
Rwanda,RWA,33.60655737704918
