home_team,variable,value
France,total,0.7403367996143793
Belgium,total,0.7359974951938136
Germany,total,0.7359911945518006
Sweden,total,0.7168364976896796
Netherlands,total,0.7107345362117955
Mexico,total,0.7022427427028196
United States,total,0.6978977897677165
Croatia,total,0.6931608564501435
Argentina,total,0.6894668138069843
Costa Rica,total,0.6879180782130846
France,win_percent,0.56
Belgium,win_percent,0.5416666666666666
Germany,win_percent,0.5
Sweden,win_percent,0.5909090909090909
Netherlands,win_percent,0.5263157894736842
Mexico,win_percent,0.4074074074074074
United States,win_percent,0.5454545454545454
Croatia,win_percent,0.46153846153846156
Argentina,win_percent,0.4583333333333333
Costa Rica,win_percent,0.4230769230769231
France,margin,0.8531608133086875
Belgium,margin,0.8997227356746765
Germany,margin,1.0
Sweden,margin,0.8059149722735673
Netherlands,margin,0.9299542757077537
Mexico,margin,0.7432737728486342
United States,margin,0.7948243992606284
Croatia,margin,0.7632589222238021
Argentina,margin,0.7573937153419593
Costa Rica,margin,0.7397980946964311
France,total_games,0.9259259259259259
Belgium,total_games,0.8888888888888888
Germany,total_games,0.8148148148148148
Sweden,total_games,0.8148148148148148
Netherlands,total_games,0.7037037037037037
Mexico,total_games,1.0
United States,total_games,0.8148148148148148
Croatia,total_games,0.9629629629629629
Argentina,total_games,0.8888888888888888
Costa Rica,total_games,0.9629629629629629
France,opp_str,0.6222604592229036
Belgium,opp_str,0.6137116895450229
Germany,opp_str,0.6291499633923875
Sweden,opp_str,0.6557071127612454
Netherlands,opp_str,0.6829643759620403
Mexico,opp_str,0.6582897905552367
United States,opp_str,0.6364973995408778
Croatia,opp_str,0.5848830790753471
Argentina,opp_str,0.6532513176637554
Costa Rica,opp_str,0.625834332116021
